Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Other Role Description - (Value),Sources,Notes
INDIGO-POJ-0142,INDIGO-ORG-0273,,,,
INDIGO-POJ-0143,INDIGO-ORG-0002,,,,
INDIGO-POJ-0143,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0144,INDIGO-ORG-0596,,,,
INDIGO-POJ-0145,INDIGO-ORG-0138,,,,
INDIGO-POJ-0146,INDIGO-ORG-0063,,,,
INDIGO-POJ-0146,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0147,INDIGO-ORG-0995,,,,
INDIGO-POJ-0148,INDIGO-ORG-0002,Performance management,,,
INDIGO-POJ-0149,INDIGO-ORG-0063,Performance management,,,
INDIGO-POJ-0150,INDIGO-ORG-0063,,,,
INDIGO-POJ-0150,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0151,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0153,INDIGO-ORG-0063,,,,
INDIGO-POJ-0154,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0156,INDIGO-ORG-0786,Performance management,,,
INDIGO-POJ-0156,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0157,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0160,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0161,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0161,INDIGO-ORG-0690,,,,
INDIGO-POJ-0162,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0163,INDIGO-ORG-0002,,,,
INDIGO-POJ-0164,INDIGO-ORG-0002,,,,
INDIGO-POJ-0165,INDIGO-ORG-0063,,,,
INDIGO-POJ-0165,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0166,INDIGO-ORG-0002,,,,
INDIGO-POJ-0166,INDIGO-ORG-0121,Other,Fund Management,,
INDIGO-POJ-0167,INDIGO-ORG-1395,Other,Evaluator,,
INDIGO-POJ-0170,INDIGO-ORG-0063,Other,Advisory,,
INDIGO-POJ-0171,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0172,INDIGO-ORG-0002,Impact bond design,Worked on the contract model to design a suitable investment structure. Helped to assess the social investment market and engage with potential funders.,,Worked on the contract model to design a suitable investment structure. Helped to assess the social investment market and engage with potential funders.
INDIGO-POJ-0174,INDIGO-ORG-1077,Other,"Produced feasibility study of programme
",,
INDIGO-POJ-0174,INDIGO-ORG-1078,Other,"Produced feasibility study of programme
",,
INDIGO-POJ-0175,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0176,INDIGO-ORG-0063,,,,
INDIGO-POJ-0177,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0178,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0180,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0182,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0182,INDIGO-ORG-0380,,,,
INDIGO-POJ-0183,INDIGO-ORG-1078,Other,ATQ were engaged in the early stages only; up to Full Award Set Up,,
INDIGO-POJ-0183,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0184,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0188,INDIGO-ORG-0063,,,,
INDIGO-POJ-0189,INDIGO-ORG-0063,,,,
INDIGO-POJ-0190,INDIGO-ORG-0063,Other,Provided additional support,,
INDIGO-POJ-0191,INDIGO-ORG-1127,Technical assistance,,,
INDIGO-POJ-0192,INDIGO-ORG-0063,,,,
INDIGO-POJ-0193,INDIGO-ORG-0063,,,,
INDIGO-POJ-0194,INDIGO-ORG-1078,Other,Complex commissioning and social investment,,
INDIGO-POJ-0194,INDIGO-ORG-1160,Other,Complex commissioning and social investment,,
INDIGO-POJ-0195,INDIGO-ORG-0063,Other,Investment intermediary and performance manager,,Social Finance UK did performance management for The Skill Mill project until November 2022.
INDIGO-POJ-0195,INDIGO-ORG-1303,Performance management,,,
INDIGO-POJ-0195,INDIGO-ORG-1524,,,,
INDIGO-POJ-0196,INDIGO-ORG-0017,Performance management,,,
INDIGO-POJ-0196,INDIGO-ORG-0042,Other,Evaluator (lead),,
INDIGO-POJ-0196,INDIGO-ORG-0018,Other,Evaluator  ,,
INDIGO-POJ-0197,INDIGO-ORG-0042,Impact bond investment structure,,,
INDIGO-POJ-0198,INDIGO-ORG-1303,Other,Programme management,,
INDIGO-POJ-0199,INDIGO-ORG-0063,Technical assistance,,,Social Finance has provided advisory support to the Council including helping to develop the business case for the SIB and supporting the bid for Life Chances Fund subsidy for outcome payments.
INDIGO-POJ-0200,INDIGO-ORG-0121,Other,Fund manager,,
INDIGO-POJ-0202,INDIGO-ORG-0917,Technical assistance,"Latitude Network supported MCM in its initial application and throughout the negotiation with Government, providing advice and technical assistance across service design, financial model, negotiation and data use",,
INDIGO-POJ-0202,INDIGO-ORG-1130,Impact bond investment structure,,,
